Record_Number,Staff_Code,Full_Name,Email_Address,ID_Number,Tax_ID_Number_NPWP,Gender,Position,Division,Job_Title,Employee_Status,Contract_Status,Contract_Period,Shift_Employee,Joining_Date,Start_Date,End_Date,Leave_Vacation_Remaining,Total_Attendance,Total_Tardiness_Minutes,Work_Date,Weekday,Arrival_Time,Departure_Time,Total_Hours_Worked,Work_Location,GPS_Latitude,GPS_Longitude,Distance_to_Office_m,Attendance_Status,Delay_in_Minutes,Timestamp_Recorded,FR_CheckIn_Match_Accuracy_Percent,FR_CheckIn_Photo_Quality_Score,FR_CheckIn_Liveness_Test_Result,FR_CheckIn_Liveness_Confidence_Percent,FR_CheckIn_Total_Scan_Attempts,FR_CheckIn_Unsuccessful_Attempts,FR_CheckIn_Operating_System,FR_CheckIn_Application_Version,FR_CheckIn_Verification_Outcome,FR_CheckIn_Failure_Reason,FR_CheckOut_Match_Accuracy,FR_CheckOut_Verification,Gaji_Pokok_IDR,Potongan_Keterlambatan_IDR,Bonus_Kehadiran_Penuh_IDR,Gaji_Bersih_IDR
ATT001,EMP001,James Whitfield,james.whitfield@bbccnn.co.id,3.17E+15,12.345.678.9-001.000,Male,Digital Platform Developer,Digital & Technology,Digital Platform Developer,Active,Permanent,2024-01-01 s/d 2027-01-01,Morning (08:00 - 17:00),3/15/2022,1/1/2024,1/1/2027,10,8,91,2/1/2026,Monday,8:30:15,17:30:45,9.01,Global Broadcast Centre,-6.2088,106.8456,45,Present,0,2/1/2026 8:30,98.5,95,Pass,97.2,1,0,Android 13,v2.5.1,Success,-,97.8,Success,5396761,47313,0,5349448
ATT002,EMP001,James Whitfield,james.whitfield@bbccnn.co.id,3.17E+15,12.345.678.9-001.000,Male,Digital Platform Developer,Digital & Technology,Digital Platform Developer,Active,Permanent,2024-01-01 s/d 2027-01-01,Morning (08:00 - 17:00),3/15/2022,1/1/2024,1/1/2027,10,8,91,2/2/2026,Tuesday,8:25:30,17:35:20,9.16,Global Broadcast Centre,-6.2089,106.8455,42,Present,0,2/2/2026 8:25,99.1,97,Pass,98.3,1,0,Android 13,v2.5.1,Success,-,98.2,Success,5396761,47313,0,5349448
ATT003,EMP001,James Whitfield,james.whitfield@bbccnn.co.id,3.17E+15,12.345.678.9-001.000,Male,Digital Platform Developer,Digital & Technology,Digital Platform Developer,Active,Permanent,2024-01-01 s/d 2027-01-01,Morning (08:00 - 17:00),3/15/2022,1/1/2024,1/1/2027,10,8,91,2/3/2026,Wednesday,9:15:45,17:30:15,8.24,Global Broadcast Centre,-6.2087,106.8457,48,Late,45,2/3/2026 9:15,96.3,89,Pass,94.8,2,1,Android 13,v2.5.1,Success,-,97.5,Success,5396761,47313,0,5349448
ATT003,EMP001,James Whitfield,james.whitfield@bbccnn.co.id,3.17E+15,12.345.678.9-001.000,Male,Digital Platform Developer,Digital & Technology,Digital Platform Developer,Active,Permanent,2024-01-01 s/d 2027-01-01,Morning (08:00 - 17:00),3/15/2022,1/1/2024,1/1/2027,10,8,91,2/3/2026,Wednesday,9:15:45,17:30:15,8.24,Global Broadcast Centre,-6.2087,106.8457,48,Late,45,2/3/2026 9:15,42.3,65,Fail,51.2,1,1,Android 13,v2.5.1,Failed,Recognition failed due to unfavorable head angle,97.5,Success,5396761,47313,0,5349448
ATT005,EMP001,James Whitfield,james.whitfield@bbccnn.co.id,3.17E+15,12.345.678.9-001.000,Male,Digital Platform Developer,Digital & Technology,Digital Platform Developer,Active,Permanent,2024-01-01 s/d 2027-01-01,Morning (08:00 - 17:00),3/15/2022,1/1/2024,1/1/2027,10,8,91,2/5/2026,Friday,8:20:10,17:25:40,9.09,Global Broadcast Centre,-6.2088,106.8456,43,Present,0,2/5/2026 8:20,98.7,96,Pass,97.9,1,0,Android 13,v2.5.1,Success,-,98,Success,5396761,47313,0,5349448
ATT006,EMP001,James Whitfield,james.whitfield@bbccnn.co.id,3.17E+15,12.345.678.9-001.000,Male,Digital Platform Developer,Digital & Technology,Digital Platform Developer,Active,Permanent,2024-01-01 s/d 2027-01-01,Morning (08:00 - 17:00),3/15/2022,1/1/2024,1/1/2027,10,8,91,2/8/2026,Monday,8:28:30,17:32:15,9.06,Global Broadcast Centre,-6.2088,106.8456,46,Present,0,2/8/2026 8:28,,,,,,,,,,,,,5396761,47313,0,5349448
ATT007,EMP001,James Whitfield,james.whitfield@bbccnn.co.id,3.17E+15,12.345.678.9-001.000,Male,Digital Platform Developer,Digital & Technology,Digital Platform Developer,Active,Permanent,2024-01-01 s/d 2027-01-01,Morning (08:00 - 17:00),3/15/2022,1/1/2024,1/1/2027,10,8,91,2/9/2026,Tuesday,8:31:20,17:30:00,8.98,Global Broadcast Centre,-6.2089,106.8455,44,Present,1,2/9/2026 8:31,,,,,,,,,,,,,5396761,47313,0,5349448
ATT010,EMP001,James Whitfield,james.whitfield@bbccnn.co.id,3.17E+15,12.345.678.9-001.000,Male,Digital Platform Developer,Digital & Technology,Digital Platform Developer,Active,Permanent,2024-01-01 s/d 2027-01-01,Morning (08:00 - 17:00),3/15/2022,1/1/2024,1/1/2027,10,8,91,2/12/2026,Friday,8:29:45,17:31:20,9.03,Global Broadcast Centre,-6.2088,106.8456,45,Present,0,2/12/2026 8:29,,,,,,,,,,,,,5396761,47313,0,5349448
ATT011,EMP002,Caroline Hargreaves,caroline.hargreaves@bbccnn.co.id,3.17E+15,12.345.678.9-002.000,Female,Head of People & Culture,People & Culture,Head of People & Culture,Active,Permanent,2023-06-01 s/d 2026-06-01,Morning (08:00 - 17:00),8/20/2019,6/1/2023,6/1/2026,12,10,1,2/1/2026,Monday,8:15:20,17:15:30,9,Global Broadcast Centre,-6.2088,106.8456,38,Present,0,2/1/2026 8:15,99.3,98,Pass,98.5,1,0,Windows 11,v2.5.1,Success,-,98.9,Success,5396761,520,269838,5666079
ATT012,EMP002,Caroline Hargreaves,caroline.hargreaves@bbccnn.co.id,3.17E+15,12.345.678.9-002.000,Female,Head of People & Culture,People & Culture,Head of People & Culture,Active,Permanent,2023-06-01 s/d 2026-06-01,Morning (08:00 - 17:00),8/20/2019,6/1/2023,6/1/2026,12,10,1,2/2/2026,Tuesday,8:30:00,17:30:00,9,Global Broadcast Centre,-6.2088,106.8456,40,Present,0,2/2/2026 8:30,99.5,99,Pass,99,1,0,Windows 11,v2.5.1,Success,-,99.2,Success,5396761,520,269838,5666079
